iter	Passed	Remaining
0	2	2964
1	5	2692
2	7	2615
3	10	2539
4	12	2496
5	14	2466
6	17	2445
7	19	2431
8	21	2415
9	24	2426
10	27	2439
11	29	2445
12	32	2470
13	35	2493
14	37	2478
15	40	2466
16	42	2456
17	44	2454
18	47	2446
19	49	2443
20	52	2440
21	55	2463
22	58	2471
23	66	2707
24	69	2703
25	72	2697
26	74	2690
27	77	2676
28	79	2671
29	82	2664
30	84	2651
31	87	2637
32	89	2625
33	91	2611
34	94	2599
35	96	2591
36	99	2583
37	101	2572
38	104	2563
39	106	2553
40	108	2543
41	111	2535
42	113	2526
43	115	2516
44	118	2508
45	120	2502
46	122	2492
47	125	2485
48	127	2480
49	130	2477
50	132	2470
51	135	2469
52	138	2469
53	140	2464
54	143	2458
55	145	2453
56	148	2454
57	151	2456
58	153	2453
59	156	2454
60	159	2451
61	161	2448
62	164	2447
63	167	2445
64	170	2446
65	172	2445
66	175	2439
67	177	2439
68	180	2432
69	182	2426
70	185	2427
71	187	2420
72	190	2417
73	192	2412
74	195	2408
75	197	2406
76	200	2403
77	202	2398
78	205	2392
79	207	2387
80	210	2383
81	212	2378
82	214	2373
83	217	2369
84	219	2367
85	222	2363
86	224	2360
87	227	2355
88	229	2350
89	231	2345
90	234	2341
91	236	2337
92	239	2333
93	241	2328
94	243	2324
95	246	2319
96	248	2315
97	251	2311
98	253	2307
99	255	2303
100	258	2300
101	260	2296
102	263	2291
103	265	2288
104	267	2284
105	270	2279
106	272	2275
107	274	2271
108	277	2268
109	279	2264
110	282	2266
111	285	2263
112	287	2259
113	290	2255
114	292	2251
115	294	2247
116	297	2244
117	299	2241
118	302	2238
119	304	2235
120	307	2231
121	309	2227
122	311	2224
123	314	2221
124	316	2217
125	319	2213
126	321	2209
127	323	2206
128	326	2202
129	328	2199
130	331	2196
131	333	2192
132	335	2190
133	338	2186
134	340	2183
135	343	2180
136	345	2178
137	348	2176
138	351	2174
139	353	2173
140	356	2170
141	358	2168
142	361	2166
143	363	2163
144	366	2160
145	369	2161
146	372	2158
147	374	2158
148	377	2156
149	380	2153
150	382	2152
151	385	2148
152	387	2145
153	389	2142
154	392	2139
155	394	2136
156	397	2132
157	399	2130
158	402	2126
159	404	2123
160	406	2120
161	409	2117
162	411	2114
163	414	2110
164	416	2107
165	418	2104
166	421	2101
167	423	2097
168	426	2095
169	428	2091
170	430	2088
171	433	2085
172	435	2082
173	438	2080
174	440	2077
175	443	2074
176	445	2070
177	447	2068
178	450	2065
179	452	2062
180	455	2059
181	457	2056
182	459	2052
183	462	2049
184	464	2047
185	467	2044
186	469	2041
187	472	2038
188	474	2035
189	476	2032
190	479	2029
191	481	2026
192	483	2023
193	486	2020
194	488	2017
195	491	2014
196	493	2011
197	496	2009
198	498	2006
199	500	2003
200	503	2000
201	505	1997
202	508	1995
203	510	1993
204	513	1991
205	516	1988
206	518	1985
207	520	1982
208	523	1979
209	525	1977
210	528	1974
211	530	1971
212	532	1968
213	534	1964
214	537	1961
215	539	1959
216	542	1956
217	544	1953
218	546	1950
219	549	1947
220	551	1944
221	553	1940
222	556	1938
223	558	1935
224	561	1932
225	563	1930
226	565	1927
227	568	1924
228	570	1921
229	573	1919
230	575	1916
231	578	1913
232	580	1910
233	582	1907
234	585	1904
235	587	1901
236	589	1899
237	592	1896
238	594	1894
239	597	1891
240	599	1889
241	602	1885
242	604	1883
243	606	1880
244	609	1876
245	611	1873
246	613	1871
247	616	1868
248	618	1865
249	620	1862
250	623	1860
251	625	1857
252	628	1854
253	630	1852
254	632	1849
255	635	1846
256	637	1844
257	640	1841
258	642	1838
259	644	1835
260	647	1833
261	649	1830
262	652	1828
263	654	1825
264	657	1822
265	659	1819
266	661	1817
267	664	1815
268	667	1813
269	670	1812
270	673	1810
271	675	1807
272	677	1805
273	680	1802
274	682	1800
275	685	1797
276	688	1796
277	690	1794
278	693	1792
279	696	1789
280	698	1787
281	701	1784
282	703	1782
283	706	1779
284	708	1777
285	710	1774
286	713	1771
287	715	1769
288	719	1768
289	721	1766
290	724	1764
291	726	1761
292	729	1759
293	732	1758
294	734	1755
295	737	1754
296	740	1751
297	743	1751
298	746	1749
299	748	1747
300	751	1744
301	753	1741
302	755	1738
303	758	1736
304	760	1733
305	763	1731
306	765	1728
307	768	1726
308	771	1724
309	773	1721
310	776	1719
311	778	1717
312	781	1714
313	783	1712
314	786	1709
315	788	1707
316	791	1704
317	793	1702
318	795	1699
319	798	1696
320	800	1694
321	803	1691
322	805	1688
323	808	1686
324	810	1683
325	812	1680
326	815	1678
327	818	1676
328	820	1674
329	823	1671
330	825	1669
331	828	1667
332	831	1665
333	833	1662
334	836	1660
335	838	1658
336	841	1655
337	844	1653
338	846	1650
339	848	1647
340	851	1644
341	853	1642
342	856	1639
343	858	1637
344	861	1634
345	863	1632
346	865	1629
347	868	1626
348	870	1624
349	873	1622
350	875	1619
351	878	1616
352	880	1613
353	882	1610
354	885	1608
355	887	1605
356	889	1602
357	892	1600
358	894	1597
359	897	1594
360	900	1593
361	902	1591
362	905	1589
363	908	1587
364	911	1585
365	914	1583
366	916	1580
367	918	1578
368	921	1575
369	923	1572
370	926	1570
371	929	1568
372	931	1566
373	933	1563
374	936	1560
375	938	1557
376	941	1555
377	943	1552
378	945	1549
379	948	1547
380	950	1544
381	953	1541
382	955	1539
383	957	1536
384	960	1533
385	962	1531
386	965	1528
387	967	1525
388	969	1522
389	972	1520
390	974	1518
391	977	1515
392	979	1513
393	982	1510
394	984	1508
395	986	1505
396	989	1502
397	991	1500
398	994	1497
399	996	1495
400	998	1492
401	1001	1489
402	1003	1487
403	1006	1484
404	1008	1482
405	1011	1479
406	1014	1477
407	1016	1475
408	1019	1473
409	1022	1470
410	1024	1468
411	1027	1465
412	1029	1463
413	1032	1461
414	1034	1458
415	1037	1456
416	1039	1453
417	1042	1451
418	1044	1448
419	1047	1447
420	1050	1444
421	1052	1441
422	1055	1439
423	1057	1437
424	1060	1434
425	1063	1432
426	1065	1429
427	1068	1427
428	1071	1425
429	1073	1423
430	1076	1420
431	1078	1418
432	1081	1416
433	1084	1413
434	1086	1411
435	1088	1408
436	1091	1406
437	1093	1403
438	1096	1400
439	1098	1398
440	1101	1395
441	1103	1393
442	1105	1390
443	1108	1387
444	1110	1385
445	1112	1382
446	1115	1379
447	1117	1376
448	1119	1374
449	1122	1371
450	1124	1369
451	1127	1366
452	1129	1364
453	1132	1361
454	1134	1359
455	1137	1356
456	1139	1354
457	1142	1351
458	1145	1349
459	1148	1348
460	1151	1346
461	1154	1344
462	1157	1342
463	1160	1340
464	1163	1338
465	1165	1335
466	1176	1342
467	1179	1340
468	1182	1339
469	1185	1336
470	1188	1335
471	1191	1333
472	1194	1330
473	1197	1328
474	1199	1326
475	1202	1324
476	1205	1321
477	1208	1319
478	1210	1316
479	1213	1314
480	1216	1312
481	1219	1310
482	1222	1308
483	1224	1305
484	1227	1303
485	1230	1301
486	1233	1298
487	1235	1296
488	1237	1293
489	1241	1291
490	1244	1289
491	1246	1287
492	1249	1285
493	1252	1283
494	1255	1280
495	1258	1279
496	1262	1277
497	1264	1274
498	1267	1272
499	1270	1270
500	1273	1268
501	1276	1266
502	1279	1263
503	1282	1261
504	1285	1260
505	1289	1258
506	1293	1257
507	1296	1255
508	1299	1253
509	1302	1251
510	1306	1250
511	1309	1248
512	1313	1246
513	1316	1244
514	1319	1242
515	1322	1240
516	1325	1238
517	1329	1236
518	1332	1234
519	1335	1232
520	1338	1230
521	1340	1227
522	1343	1224
523	1345	1222
524	1349	1220
525	1352	1218
526	1356	1217
527	1359	1215
528	1362	1213
529	1366	1212
530	1370	1210
531	1374	1208
532	1377	1206
533	1379	1204
534	1383	1202
535	1386	1200
536	1389	1198
537	1393	1196
538	1396	1194
539	1399	1192
540	1402	1189
541	1405	1187
542	1408	1185
543	1412	1184
544	1417	1183
545	1421	1181
546	1423	1179
547	1426	1176
548	1429	1174
549	1431	1171
550	1434	1168
551	1437	1166
552	1439	1163
553	1442	1161
554	1444	1158
555	1447	1155
556	1449	1153
557	1452	1150
558	1454	1147
559	1457	1145
560	1459	1142
561	1462	1139
562	1465	1137
563	1468	1134
564	1471	1132
565	1474	1130
566	1478	1128
567	1481	1126
568	1484	1124
569	1487	1122
570	1490	1119
571	1492	1116
572	1494	1114
573	1497	1111
574	1500	1108
575	1502	1105
576	1504	1103
577	1507	1100
578	1509	1097
579	1512	1095
580	1514	1092
581	1516	1089
582	1519	1086
583	1521	1084
584	1524	1081
585	1527	1078
586	1529	1076
587	1532	1073
588	1535	1071
589	1538	1069
590	1541	1066
591	1544	1064
592	1547	1062
593	1550	1059
594	1553	1057
595	1556	1055
596	1560	1053
597	1563	1051
598	1566	1048
599	1569	1046
600	1572	1043
601	1575	1041
602	1577	1038
603	1580	1036
604	1583	1033
605	1586	1031
606	1589	1029
607	1592	1026
608	1594	1023
609	1597	1021
610	1600	1018
611	1602	1016
612	1605	1013
613	1608	1010
614	1610	1008
615	1613	1005
616	1616	1003
617	1618	1000
618	1621	998
619	1624	995
620	1628	993
